"Indicator Name","Cancer Type","Year","Country Name","Region","Gender","Area","Numeric","Lower Confidence Limit","Upper Confidence Limit","Comment",
"Obesity, adolescents aged 10–19","","2022","American Samoa","Western Pacific Region","Total","","31.445697","18.595475","43.828931","",
"Obesity, adolescents aged 10–19","","2022","American Samoa","Western Pacific Region","Males","","32.461807","13.379709","51.047754","",
"Obesity, adolescents aged 10–19","","2022","American Samoa","Western Pacific Region","Females","","30.361226","14.109588","47.041142","",
"Obesity, adolescents aged 10–19","","2022","Andorra","European Region","Total","","9.9219099","3.3056851","19.46879","",
"Obesity, adolescents aged 10–19","","2022","Andorra","European Region","Males","","11.918185","2.1177741","28.96421","",
"Obesity, adolescents aged 10–19","","2022","Andorra","European Region","Females","","7.7798918","1.3813216","19.379655","",
"Obesity, adolescents aged 10–19","","2022","Angola","African Region","Total","","3.8556013","1.0757077","8.6656265","",
"Obesity, adolescents aged 10–19","","2022","Angola","African Region","Males","","4.4971384","0.55558383","13.029869","",
"Obesity, adolescents aged 10–19","","2022","Angola","African Region","Females","","3.2123923","0.57511064","8.7887205","",
"Obesity, adolescents aged 10–19","","2022","Antigua and Barbuda","Region of the Americas","Total","","23.028758","13.238615","33.553809","",
"Obesity, adolescents aged 10–19","","2022","Antigua and Barbuda","Region of the Americas","Males","","21.487212","7.2475277","37.755978","",
"Obesity, adolescents aged 10–19","","2022","Antigua and Barbuda","Region of the Americas","Females","","24.613172","11.61194","38.337401","",
"Obesity, adolescents aged 10–19","","2022","Argentina","Region of the Americas","Total","","18.799725","15.156382","22.646967","",
"Obesity, adolescents aged 10–19","","2022","Argentina","Region of the Americas","Males","","20.176995","14.795572","25.837228","",
"Obesity, adolescents aged 10–19","","2022","Argentina","Region of the Americas","Females","","17.345126","12.488144","22.781341","",
"Obesity, adolescents aged 10–19","","2022","Armenia","European Region","Total","","6.8406656","3.8795244","10.795268","",
"Obesity, adolescents aged 10–19","","2022","Armenia","European Region","Males","","8.2737505","3.4725185","15.263061","",
"Obesity, adolescents aged 10–19","","2022","Armenia","European Region","Females","","5.2682262","2.6872758","8.884272","",
"Obesity, adolescents aged 10–19","","2022","Australia","Western Pacific Region","Total","","15.237479","12.041945","18.624547","",
"Obesity, adolescents aged 10–19","","2022","Australia","Western Pacific Region","Males","","16.517034","11.918554","21.857157","",
"Obesity, adolescents aged 10–19","","2022","Australia","Western Pacific Region","Females","","13.890409","9.989962","18.464805","",
"Obesity, adolescents aged 10–19","","2022","Austria","European Region","Total","","10.69826","8.7267496","12.834166","",
"Obesity, adolescents aged 10–19","","2022","Austria","European Region","Males","","12.884539","9.9425927","16.061276","",
"Obesity, adolescents aged 10–19","","2022","Austria","European Region","Females","","8.3900668","5.9939221","11.299755","",
"Obesity, adolescents aged 10–19","","2022","Azerbaijan","European Region","Total","","7.0089161","2.8952947","13.193725","",
"Obesity, adolescents aged 10–19","","2022","Azerbaijan","European Region","Males","","6.3884094","1.1658723","16.578479","",
"Obesity, adolescents aged 10–19","","2022","Azerbaijan","European Region","Females","","7.720042","2.7498407","15.02225","",
"Obesity, adolescents aged 10–19","","2022","Bahamas","Region of the Americas","Total","","24.611734","17.841662","31.832987","",
"Obesity, adolescents aged 10–19","","2022","Bahamas","Region of the Americas","Males","","19.160196","9.8542556","29.992318","",
"Obesity, adolescents aged 10–19","","2022","Bahamas","Region of the Americas","Females","","30.01073","20.237914","39.802358","",
"Obesity, adolescents aged 10–19","","2022","Bahrain","Eastern Mediterranean Region","Total","","21.295694","15.346327","27.633074","",
"Obesity, adolescents aged 10–19","","2022","Bahrain","Eastern Mediterranean Region","Males","","21.989359","13.491234","31.100088","",
"Obesity, adolescents aged 10–19","","2022","Bahrain","Eastern Mediterranean Region","Females","","20.582175","12.912594","29.130566","",
"Obesity, adolescents aged 10–19","","2022","Bangladesh","South-East Asian Region","Total","","1.8450761","1.1333647","2.7816245","",
"Obesity, adolescents aged 10–19","","2022","Bangladesh","South-East Asian Region","Males","","1.6313044","0.76505411","2.9475432","",
"Obesity, adolescents aged 10–19","","2022","Bangladesh","South-East Asian Region","Females","","2.0653373","1.0206304","3.5324655","",
"Obesity, adolescents aged 10–19","","2022","Barbados","Region of the Americas","Total","","21.585242","13.174355","31.337607","",
"Obesity, adolescents aged 10–19","","2022","Barbados","Region of the Americas","Males","","20.401907","8.1198372","34.830332","",
"Obesity, adolescents aged 10–19","","2022","Barbados","Region of the Americas","Females","","22.802982","11.535534","35.468316","",
"Obesity, adolescents aged 10–19","","2022","Belarus","European Region","Total","","6.0218051","2.5548654","11.019152","",
"Obesity, adolescents aged 10–19","","2022","Belarus","European Region","Males","","7.7521577","2.2140248","16.58157","",
"Obesity, adolescents aged 10–19","","2022","Belarus","European Region","Females","","4.222681","0.93387431","9.9768594","",
"Obesity, adolescents aged 10–19","","2022","Belgium","European Region","Total","","6.5109901","4.3189172","9.1812506","",
"Obesity, adolescents aged 10–19","","2022","Belgium","European Region","Males","","7.8950763","4.5827419","12.241869","",
"Obesity, adolescents aged 10–19","","2022","Belgium","European Region","Females","","5.0569724","2.6919661","8.2138978","",
"Obesity, adolescents aged 10–19","","2022","Belize","Region of the Americas","Total","","20.176184","11.416625","29.986992","",
"Obesity, adolescents aged 10–19","","2022","Belize","Region of the Americas","Males","","19.48937","7.0211068","34.648648","",
"Obesity, adolescents aged 10–19","","2022","Belize","Region of the Americas","Females","","20.886728","9.3913354","33.952525","",
"Obesity, adolescents aged 10–19","","2022","Benin","African Region","Total","","4.4064764","1.7118849","9.1572568","",
"Obesity, adolescents aged 10–19","","2022","Benin","African Region","Males","","5.56303","0.90498738","14.535923","",
"Obesity, adolescents aged 10–19","","2022","Benin","African Region","Females","","3.2171756","1.3816333","6.0429566","",
"Obesity, adolescents aged 10–19","","2022","Bermuda","Region of the Americas","Total","","17.661722","7.3498718","29.883447","",
"Obesity, adolescents aged 10–19","","2022","Bermuda","Region of the Americas","Males","","17.779358","4.2604201","36.238387","",
"Obesity, adolescents aged 10–19","","2022","Bermuda","Region of the Americas","Females","","17.535231","4.853389","34.301785","",
"Obesity, adolescents aged 10–19","","2022","Bhutan","South-East Asian Region","Total","","5.1889561","2.3691665","9.1284938","",
"Obesity, adolescents aged 10–19","","2022","Bhutan","South-East Asian Region","Males","","4.7624867","1.2762999","10.625545","",
"Obesity, adolescents aged 10–19","","2022","Bhutan","South-East Asian Region","Females","","5.6391582","1.9863687","11.18131","",
"Obesity, adolescents aged 10–19","","2022","Bolivia (Plurinational State of)","Region of the Americas","Total","","13.677868","8.225894","20.039171","",
"Obesity, adolescents aged 10–19","","2022","Bolivia (Plurinational State of)","Region of the Americas","Males","","15.387392","6.9802426","26.006925","",
"Obesity, adolescents aged 10–19","","2022","Bolivia (Plurinational State of)","Region of the Americas","Females","","11.909089","5.683089","19.647546","",
"Obesity, adolescents aged 10–19","","2022","Bosnia and Herzegovina","European Region","Total","","8.9731693","4.3838207","14.897145","",
"Obesity, adolescents aged 10–19","","2022","Bosnia and Herzegovina","European Region","Males","","11.078025","3.8821016","21.143419","",
"Obesity, adolescents aged 10–19","","2022","Bosnia and Herzegovina","European Region","Females","","6.7895316","2.3155065","13.914205","",
"Obesity, adolescents aged 10–19","","2022","Botswana","African Region","Total","","5.749426","2.1850133","11.387254","",
"Obesity, adolescents aged 10–19","","2022","Botswana","African Region","Males","","4.8679352","0.62044994","13.767166","",
"Obesity, adolescents aged 10–19","","2022","Botswana","African Region","Females","","6.6505976","2.0243617","14.242937","",
"Obesity, adolescents aged 10–19","","2022","Brazil","Region of the Americas","Total","","11.944772","10.064014","13.925472","",
"Obesity, adolescents aged 10–19","","2022","Brazil","Region of the Americas","Males","","12.733449","9.94334","15.650173","",
"Obesity, adolescents aged 10–19","","2022","Brazil","Region of the Americas","Females","","11.126333","8.6559221","13.761084","",
"Obesity, adolescents aged 10–19","","2022","Brunei Darussalam","Western Pacific Region","Total","","21.575283","17.243427","26.165691","",
"Obesity, adolescents aged 10–19","","2022","Brunei Darussalam","Western Pacific Region","Males","","23.952396","17.404608","30.615583","",
"Obesity, adolescents aged 10–19","","2022","Brunei Darussalam","Western Pacific Region","Females","","19.047342","13.487607","25.489751","",
"Obesity, adolescents aged 10–19","","2022","Bulgaria","European Region","Total","","10.181739","7.802894","12.761357","",
"Obesity, adolescents aged 10–19","","2022","Bulgaria","European Region","Males","","11.992496","8.3873503","16.029015","",
"Obesity, adolescents aged 10–19","","2022","Bulgaria","European Region","Females","","8.245185","5.5141218","11.711548","",
"Obesity, adolescents aged 10–19","","2022","Burkina Faso","African Region","Total","","1.0023135","0.46852082","1.9232666","",
"Obesity, adolescents aged 10–19","","2022","Burkina Faso","African Region","Males","","0.76678838","0.087859231","2.3353634","",
"Obesity, adolescents aged 10–19","","2022","Burkina Faso","African Region","Females","","1.2446438","0.59369518","2.2404617","",
"Obesity, adolescents aged 10–19","","2022","Burundi","African Region","Total","","1.6666418","0.34207194","5.0024711","",
"Obesity, adolescents aged 10–19","","2022","Burundi","African Region","Males","","2.4855731","0.14903314","9.0282716","",
"Obesity, adolescents aged 10–19","","2022","Burundi","African Region","Females","","0.84440038","0.23132325","2.0485137","",
"Obesity, adolescents aged 10–19","","2022","Cabo Verde","African Region","Total","","3.5897847","1.3588056","7.1029611","",
"Obesity, adolescents aged 10–19","","2022","Cabo Verde","African Region","Males","","2.0588288","0.20147681","6.4308971","",
"Obesity, adolescents aged 10–19","","2022","Cabo Verde","African Region","Females","","5.1603466","1.6285541","11.054457","",
"Obesity, adolescents aged 10–19","","2022","Cambodia","Western Pacific Region","Total","","4.8893467","1.9505776","9.4167516","",
"Obesity, adolescents aged 10–19","","2022","Cambodia","Western Pacific Region","Males","","7.4654371","1.9107241","16.351737","",
"Obesity, adolescents aged 10–19","","2022","Cambodia","Western Pacific Region","Females","","2.202042","1.1462213","3.7111387","",
"Obesity, adolescents aged 10–19","","2022","Cameroon","African Region","Total","","3.6193967","1.6560895","7.2623938","",
"Obesity, adolescents aged 10–19","","2022","Cameroon","African Region","Males","","2.9273562","0.24749571","9.4677702","",
"Obesity, adolescents aged 10–19","","2022","Cameroon","African Region","Females","","4.3155257","2.1659696","7.3683478","",
"Obesity, adolescents aged 10–19","","2022","Canada","Region of the Americas","Total","","11.489964","8.6983711","14.572461","",
"Obesity, adolescents aged 10–19","","2022","Canada","Region of the Americas","Males","","12.857307","8.7591968","17.581306","",
"Obesity, adolescents aged 10–19","","2022","Canada","Region of the Americas","Females","","10.071215","6.5599218","14.222167","",
"Obesity, adolescents aged 10–19","","2022","Central African Republic","African Region","Total","","4.5711752","0.97409496","11.235329","",
"Obesity, adolescents aged 10–19","","2022","Central African Republic","African Region","Males","","4.7169931","0.32420603","15.591927","",
"Obesity, adolescents aged 10–19","","2022","Central African Republic","African Region","Females","","4.4229396","0.4641789","13.685372","",
"Obesity, adolescents aged 10–19","","2022","Chad","African Region","Total","","2.6270906","0.64299204","7.2031461","",
"Obesity, adolescents aged 10–19","","2022","Chad","African Region","Males","","3.7500463","0.29876893","13.015592","",
"Obesity, adolescents aged 10–19","","2022","Chad","African Region","Females","","1.4732651","0.37770609","3.5674769","",
"Obesity, adolescents aged 10–19","","2022","Chile","Region of the Americas","Total","","23.338562","16.965927","29.981512","",
"Obesity, adolescents aged 10–19","","2022","Chile","Region of the Americas","Males","","27.056199","17.12334","37.283155","",
"Obesity, adolescents aged 10–19","","2022","Chile","Region of the Americas","Females","","19.475901","11.37259","28.21399","",
"Obesity, adolescents aged 10–19","","2022","China","Western Pacific Region","Total","","9.9447973","7.806842","12.247701","",
"Obesity, adolescents aged 10–19","","2022","China","Western Pacific Region","Males","","13.123426","9.5169336","16.907892","",
"Obesity, adolescents aged 10–19","","2022","China","Western Pacific Region","Females","","6.2252868","4.2441987","8.7464646","",
"Obesity, adolescents aged 10–19","","2022","Colombia","Region of the Americas","Total","","9.6605681","6.9366999","12.726004","",
"Obesity, adolescents aged 10–19","","2022","Colombia","Region of the Americas","Males","","7.6771788","4.5125093","11.630152","",
"Obesity, adolescents aged 10–19","","2022","Colombia","Region of the Americas","Females","","11.720148","7.6172464","16.679209","",
"Obesity, adolescents aged 10–19","","2022","Comoros","African Region","Total","","3.5081714","1.1475094","7.6627396","",
"Obesity, adolescents aged 10–19","","2022","Comoros","African Region","Males","","2.4904136","0.14928026","9.328486","",
"Obesity, adolescents aged 10–19","","2022","Comoros","African Region","Females","","4.5397881","1.2801105","10.121392","",
"Obesity, adolescents aged 10–19","","2022","Congo","African Region","Total","","2.7601654","0.60096863","7.4972652","",
"Obesity, adolescents aged 10–19","","2022","Congo","African Region","Males","","3.7713867","0.26642552","13.024694","",
"Obesity, adolescents aged 10–19","","2022","Congo","African Region","Females","","1.7358927","0.33879462","4.7132414","",
"Obesity, adolescents aged 10–19","","2022","Cook Islands","Western Pacific Region","Total","","41.041777","33.054945","48.883283","",
"Obesity, adolescents aged 10–19","","2022","Cook Islands","Western Pacific Region","Males","","42.889279","30.319053","54.015684","",
"Obesity, adolescents aged 10–19","","2022","Cook Islands","Western Pacific Region","Females","","39.237136","28.688136","49.372554","",
"Obesity, adolescents aged 10–19","","2022","Costa Rica","Region of the Americas","Total","","13.304578","8.576405","18.623061","",
"Obesity, adolescents aged 10–19","","2022","Costa Rica","Region of the Americas","Males","","13.476487","6.9116108","21.345127","",
"Obesity, adolescents aged 10–19","","2022","Costa Rica","Region of the Americas","Females","","13.125102","7.0304148","20.700704","",
"Obesity, adolescents aged 10–19","","2022","Côte d'Ivoire","African Region","Total","","4.5747802","2.0818604","9.2389934","",
"Obesity, adolescents aged 10–19","","2022","Côte d'Ivoire","African Region","Males","","4.7870286","0.53775907","13.84249","",
"Obesity, adolescents aged 10–19","","2022","Côte d'Ivoire","African Region","Females","","4.358428","2.3789074","6.9281355","",
"Obesity, adolescents aged 10–19","","2022","Croatia","European Region","Total","","7.5883254","5.4623801","10.123402","",
"Obesity, adolescents aged 10–19","","2022","Croatia","European Region","Males","","9.7162627","6.2021602","13.970006","",
"Obesity, adolescents aged 10–19","","2022","Croatia","European Region","Females","","5.3345602","3.2087006","8.1448868","",
"Obesity, adolescents aged 10–19","","2022","Cuba","Region of the Americas","Total","","12.497349","9.213426","16.236526","",
"Obesity, adolescents aged 10–19","","2022","Cuba","Region of the Americas","Males","","13.094541","8.4280059","18.63064","",
"Obesity, adolescents aged 10–19","","2022","Cuba","Region of the Americas","Females","","11.864799","7.468266","17.049079","",
"Obesity, adolescents aged 10–19","","2022","Cyprus","European Region","Total","","12.599134","8.9387268","16.847111","",
"Obesity, adolescents aged 10–19","","2022","Cyprus","European Region","Males","","15.789784","9.967152","22.510462","",
"Obesity, adolescents aged 10–19","","2022","Cyprus","European Region","Females","","9.2548437","5.2468881","14.255734","",
"Obesity, adolescents aged 10–19","","2022","Czechia","European Region","Total","","4.459776","3.0205777","6.216019","",
"Obesity, adolescents aged 10–19","","2022","Czechia","European Region","Males","","5.8462664","3.4533706","8.8218115","",
"Obesity, adolescents aged 10–19","","2022","Czechia","European Region","Females","","3.001564","1.609144","4.9366545","",
"Obesity, adolescents aged 10–19","","2022","Democratic People's Republic of Korea","South-East Asian Region","Total","","7.878425","2.3180176","16.70444","",
"Obesity, adolescents aged 10–19","","2022","Democratic People's Republic of Korea","South-East Asian Region","Males","","9.8525576","1.634695","24.847178","",
"Obesity, adolescents aged 10–19","","2022","Democratic People's Republic of Korea","South-East Asian Region","Females","","5.810057","0.76847272","16.424209","",
"Obesity, adolescents aged 10–19","","2022","Democratic Republic of the Congo","African Region","Total","","3.6903709","1.1780713","8.2123704","",
"Obesity, adolescents aged 10–19","","2022","Democratic Republic of the Congo","African Region","Males","","4.2174812","0.44661211","13.220856","",
"Obesity, adolescents aged 10–19","","2022","Democratic Republic of the Congo","African Region","Females","","3.1646289","0.91073979","7.1864821","",
"Obesity, adolescents aged 10–19","","2022","Denmark","European Region","Total","","5.4759391","4.0065024","7.2112791","",
"Obesity, adolescents aged 10–19","","2022","Denmark","European Region","Males","","7.513684","5.1680256","10.413743","",
"Obesity, adolescents aged 10–19","","2022","Denmark","European Region","Females","","3.3352792","1.6931266","5.6838188","",
"Obesity, adolescents aged 10–19","","2022","Djibouti","Eastern Mediterranean Region","Total","","2.7413305","0.54444005","7.2602361","",
"Obesity, adolescents aged 10–19","","2022","Djibouti","Eastern Mediterranean Region","Males","","2.3531575","0.15597215","8.4248655","",
"Obesity, adolescents aged 10–19","","2022","Djibouti","Eastern Mediterranean Region","Females","","3.1359579","0.34044702","10.302055","",
"Obesity, adolescents aged 10–19","","2022","Dominica","Region of the Americas","Total","","17.263205","9.3014203","26.559037","",
"Obesity, adolescents aged 10–19","","2022","Dominica","Region of the Americas","Males","","14.802413","4.3839183","28.67299","",
"Obesity, adolescents aged 10–19","","2022","Dominica","Region of the Americas","Females","","19.741318","8.569175","32.728654","",
"Obesity, adolescents aged 10–19","","2022","Dominican Republic","Region of the Americas","Total","","14.13592","8.3605684","20.974129","",
"Obesity, adolescents aged 10–19","","2022","Dominican Republic","Region of the Americas","Males","","14.355147","6.1453238","24.936734","",
"Obesity, adolescents aged 10–19","","2022","Dominican Republic","Region of the Americas","Females","","13.907488","6.8476401","22.579227","",
"Obesity, adolescents aged 10–19","","2022","Ecuador","Region of the Americas","Total","","10.55189","7.5915866","13.816462","",
"Obesity, adolescents aged 10–19","","2022","Ecuador","Region of the Americas","Males","","12.777279","8.1281215","17.937526","",
"Obesity, adolescents aged 10–19","","2022","Ecuador","Region of the Americas","Females","","8.2368419","4.8763961","12.430467","",
"Obesity, adolescents aged 10–19","","2022","Egypt","Eastern Mediterranean Region","Total","","16.839969","12.03609","22.102594","",
"Obesity, adolescents aged 10–19","","2022","Egypt","Eastern Mediterranean Region","Males","","13.670506","7.6462984","21.209142","",
"Obesity, adolescents aged 10–19","","2022","Egypt","Eastern Mediterranean Region","Females","","20.158733","13.192925","27.998468","",
"Obesity, adolescents aged 10–19","","2022","El Salvador","Region of the Americas","Total","","9.7033553","5.4595143","15.254571","",
"Obesity, adolescents aged 10–19","","2022","El Salvador","Region of the Americas","Males","","8.4708929","3.0479092","16.927116","",
"Obesity, adolescents aged 10–19","","2022","El Salvador","Region of the Americas","Females","","11.019088","5.0160058","18.732567","",
"Obesity, adolescents aged 10–19","","2022","Equatorial Guinea","African Region","Total","","4.5887142","0.99240597","11.48091","",
"Obesity, adolescents aged 10–19","","2022","Equatorial Guinea","African Region","Males","","4.7825009","0.37306121","15.994494","",
"Obesity, adolescents aged 10–19","","2022","Equatorial Guinea","African Region","Females","","4.3899946","0.49349479","13.458362","",
"Obesity, adolescents aged 10–19","","2022","Eritrea","African Region","Total","","2.6970813","0.60050772","6.6271394","",
"Obesity, adolescents aged 10–19","","2022","Eritrea","African Region","Males","","2.0917639","0.13638088","7.4362323","",
"Obesity, adolescents aged 10–19","","2022","Eritrea","African Region","Females","","3.3113204","0.45623295","9.8076746","",
"Obesity, adolescents aged 10–19","","2022","Estonia","European Region","Total","","9.9098913","8.1189319","11.88467","",
"Obesity, adolescents aged 10–19","","2022","Estonia","European Region","Males","","12.473733","9.6380502","15.556124","",
"Obesity, adolescents aged 10–19","","2022","Estonia","European Region","Females","","7.2122894","5.0580334","9.7215474","",
"Obesity, adolescents aged 10–19","","2022","Eswatini","African Region","Total","","6.0350895","2.6583785","11.019406","",
"Obesity, adolescents aged 10–19","","2022","Eswatini","African Region","Males","","4.3444302","0.86248433","11.305712","",
"Obesity, adolescents aged 10–19","","2022","Eswatini","African Region","Females","","7.74123","2.754507","15.636893","",
"Obesity, adolescents aged 10–19","","2022","Ethiopia","African Region","Total","","0.93492931","0.40955134","1.7641984","",
"Obesity, adolescents aged 10–19","","2022","Ethiopia","African Region","Males","","0.89572771","0.20212291","2.2968795","",
"Obesity, adolescents aged 10–19","","2022","Ethiopia","African Region","Females","","0.97535858","0.35256022","2.0588979","",
"Obesity, adolescents aged 10–19","","2022","Fiji","Western Pacific Region","Total","","12.464875","7.7467114","18.18236","",
"Obesity, adolescents aged 10–19","","2022","Fiji","Western Pacific Region","Males","","15.034293","7.9141878","23.974863","",
"Obesity, adolescents aged 10–19","","2022","Fiji","Western Pacific Region","Females","","9.8641448","4.7521386","16.885382","",
"Obesity, adolescents aged 10–19","","2022","Finland","European Region","Total","","13.040347","10.412335","15.988025","",
"Obesity, adolescents aged 10–19","","2022","Finland","European Region","Males","","15.861493","11.663099","20.542169","",
"Obesity, adolescents aged 10–19","","2022","Finland","European Region","Females","","10.094289","7.0913255","13.496341","",
"Obesity, adolescents aged 10–19","","2022","France","European Region","Total","","3.7885364","2.336047","5.6817196","",
"Obesity, adolescents aged 10–19","","2022","France","European Region","Males","","3.890295","1.7980458","6.948176","",
"Obesity, adolescents aged 10–19","","2022","France","European Region","Females","","3.6817446","1.9170823","6.1635505","",
"Obesity, adolescents aged 10–19","","2022","French Polynesia","Western Pacific Region","Total","","27.395031","19.708836","35.134372","",
"Obesity, adolescents aged 10–19","","2022","French Polynesia","Western Pacific Region","Males","","28.201512","16.443191","39.690036","",
"Obesity, adolescents aged 10–19","","2022","French Polynesia","Western Pacific Region","Females","","26.553044","16.700089","36.816821","",
"Obesity, adolescents aged 10–19","","2022","Gabon","African Region","Total","","5.0664682","2.3901938","9.9626079","",
"Obesity, adolescents aged 10–19","","2022","Gabon","African Region","Males","","4.4412583","0.41824854","14.175203","",
"Obesity, adolescents aged 10–19","","2022","Gabon","African Region","Females","","5.6955725","3.1118892","9.0964526","",
"Obesity, adolescents aged 10–19","","2022","Gambia","African Region","Total","","3.6255848","1.4472794","8.3770178","",
"Obesity, adolescents aged 10–19","","2022","Gambia","African Region","Males","","3.8034502","0.29303068","12.861408","",
"Obesity, adolescents aged 10–19","","2022","Gambia","African Region","Females","","3.4442294","1.8200096","5.7012323","",
"Obesity, adolescents aged 10–19","","2022","Georgia","European Region","Total","","8.9290194","5.3345658","13.525125","",
"Obesity, adolescents aged 10–19","","2022","Georgia","European Region","Males","","11.474761","5.6354858","19.232589","",
"Obesity, adolescents aged 10–19","","2022","Georgia","European Region","Females","","6.1874144","2.7822066","11.11801","",
"Obesity, adolescents aged 10–19","","2022","Germany","European Region","Total","","8.7313853","5.7868257","12.334721","",
"Obesity, adolescents aged 10–19","","2022","Germany","European Region","Males","","10.558605","5.9477799","16.29387","",
"Obesity, adolescents aged 10–19","","2022","Germany","European Region","Females","","6.7827463","3.5258722","10.944952","",
"Obesity, adolescents aged 10–19","","2022","Ghana","African Region","Total","","4.0355068","2.749864","5.6202859","",
"Obesity, adolescents aged 10–19","","2022","Ghana","African Region","Males","","4.1258331","2.277266","6.6848904","",
"Obesity, adolescents aged 10–19","","2022","Ghana","African Region","Females","","3.9433908","2.3443628","6.0310755","",
"Obesity, adolescents aged 10–19","","2022","Greece","European Region","Total","","9.7185582","7.5404674","12.073065","",
"Obesity, adolescents aged 10–19","","2022","Greece","European Region","Males","","12.023248","8.5589923","15.780109","",
"Obesity, adolescents aged 10–19","","2022","Greece","European Region","Females","","7.243143","4.7462989","10.151635","",
"Obesity, adolescents aged 10–19","","2022","Greenland","European Region","Total","","4.6177622","1.8481074","8.6597092","",
"Obesity, adolescents aged 10–19","","2022","Greenland","European Region","Males","","3.9252851","0.7200981","10.010106","",
"Obesity, adolescents aged 10–19","","2022","Greenland","European Region","Females","","5.3548209","1.4769531","11.514995","",
"Obesity, adolescents aged 10–19","","2022","Grenada","Region of the Americas","Total","","17.664982","7.7279598","29.803908","",
"Obesity, adolescents aged 10–19","","2022","Grenada","Region of the Americas","Males","","17.719211","4.3349277","36.074799","",
"Obesity, adolescents aged 10–19","","2022","Grenada","Region of the Americas","Females","","17.608707","4.8163597","34.251222","",
"Obesity, adolescents aged 10–19","","2022","Guatemala","Region of the Americas","Total","","7.4440897","5.9566334","9.1554195","",
"Obesity, adolescents aged 10–19","","2022","Guatemala","Region of the Americas","Males","","7.2472088","5.0770558","9.783034","",
"Obesity, adolescents aged 10–19","","2022","Guatemala","Region of the Americas","Females","","7.6458126","5.6216851","10.117555","",
"Obesity, adolescents aged 10–19","","2022","Guinea","African Region","Total","","2.7874045","1.0596108","6.1607048","",
"Obesity, adolescents aged 10–19","","2022","Guinea","African Region","Males","","2.6037758","0.19795806","8.9756638","",
"Obesity, adolescents aged 10–19","","2022","Guinea","African Region","Females","","2.9766839","1.2629029","5.6376856","",
